name,number
BT Sport 3 HD,874
MUTV,875
BTSpt//ESPNHD,876
Racing TV HD,877
Sky News,881
BBC NEWS HD,882
CNBC HD,883
CNN HD,884
TRT World HD,886
TJC HD,890
SONY TV,892
Utsav Plus,893
COLORS,894
SONY MAX,895
Utsav Gold,896
PCNE Chinese HD,897
Zee TV,898
Sky Intro,899
Sky Intro,950
BBC One Scot,951
BBC One Wales,952
BBC One NI,953
BBC One NE&C,955
BBC One Yorks,956
BBC One Yk&Li,957
BBC One N West,958
BBC One W Mid,959
BBC One E Mid,960
BBC One East E,961
BBC One East W,962
BBC One S East,963
BBC One South,964
BBC One Oxford,965
BBC One West,966
BBC One S West,967
BBC One CI,968
BBC Two Wales,971
BBC Two NI,972
BBC One ScotHD,977
BBC One Wal HD,978
BBC One NI HD,979
BBC Two Wal HD,980
BBC RB 1,981
BBC RB 2,982
BBC RB 3,983
BBC RB 4,984
BBC RB 5,985
BBC RB 6,986
BBC RB HD,987
